Date,Samples,Positive.samples
2020-07-27,32,0
2020-07-28,0,0
2020-07-29,339,0
2020-07-30,296,1
2020-07-31,605,4
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,25,0
2020-08-04,349,16
2020-08-05,400,2
2020-08-06,439,3
2020-08-07,302,0
2020-08-08,0,1
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,359,0
2020-08-12,665,5
2020-08-13,497,2
2020-08-14,218,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,256,0
2020-08-18,508,0
2020-08-19,539,3
2020-08-20,479,2
2020-08-21,360,1
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,82,0
2020-08-25,687,0
2020-08-26,745,2
2020-08-27,727,3
2020-08-28,690,2
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,398,0
2020-09-01,1220,1
2020-09-02,650,0
2020-09-03,517,1
2020-09-04,453,0
2020-09-05,0,0
2020-09-06,252,0
2020-09-07,68,0
2020-09-08,338,0
2020-09-09,646,0
2020-09-10,701,2
2020-09-11,305,0
2020-09-12,264,0
2020-09-13,0,0
2020-09-14,88,0
2020-09-15,1068,1
2020-09-16,772,0
2020-09-17,760,1
2020-09-18,952,1
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,666,0
2020-09-24,1244,0
2020-09-25,662,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,212,0
2020-09-29,1583,0
2020-09-30,671,0
2020-10-01,1071,1
2020-10-02,505,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,616,0
2020-10-06,613,1
2020-10-07,707,0
2020-10-08,2127,2
2020-10-09,436,1
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,394,0
2020-10-13,1835,0
2020-10-14,1662,0
2020-10-15,2270,0
2020-10-16,1593,1
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,417,0
2020-10-20,929,3
2020-10-21,2229,0
2020-10-22,1812,2
2020-10-23,1455,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,1448,1
2020-10-27,1119,0
2020-10-28,1593,0
2020-10-29,1914,1
2020-10-30,3694,12
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,433,0
2020-11-03,0,0
2020-11-04,2039,0
2020-11-05,1680,1
2020-11-06,1552,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,1297,0
2020-11-10,1674,0
2020-11-11,1927,0
2020-11-12,1869,0
2020-11-13,1921,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,1358,1
2020-11-17,3143,0
2020-11-18,2343,1
2020-11-19,2117,4
2020-11-20,2535,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,1656,3
2020-11-25,2649,0
2020-11-26,2598,0
2020-11-27,3426,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,2006,1
2020-12-01,2540,0
2020-12-02,2883,0
2020-12-03,2672,0
2020-12-04,2596,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,2020,0
2020-12-08,1699,0
2020-12-09,2968,0
2020-12-10,3411,0
2020-12-11,2395,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,2895,0
2020-12-15,2902,0
2020-12-16,4114,0
2020-12-17,3696,0
2020-12-18,4863,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,2162,1
2020-12-22,3479,3
2020-12-23,2578,2
2020-12-24,3668,0
2020-12-25,3054,0
2020-12-26,0,0
2020-12-27,188,0
2020-12-28,200,0
2020-12-29,0,0
2020-12-30,2,0
2020-12-31,3,0
2021-01-01,3,0
2021-01-02,0,0
2021-01-03,1,0
2021-01-04,6,0
2021-01-05,2319,9
2021-01-06,4389,0
2021-01-07,3745,3
2021-01-08,5585,0
2021-01-09,0,0
2021-01-10,80,0
2021-01-11,264,1
2021-01-12,4103,9
2021-01-13,5638,0
2021-01-14,7421,0
2021-01-15,8180,3
2021-01-16,327,0
2021-01-17,212,0
2021-01-18,8597,9
2021-01-19,5702,1
2021-01-20,7231,0
2021-01-21,7420,0
2021-01-22,8929,6
2021-01-23,448,0
2021-01-24,73,0
2021-01-25,8789,4
2021-01-26,6383,2
2021-01-27,6181,0
2021-01-28,8980,2
2021-01-29,8066,6
2021-01-30,417,0
2021-01-31,64,0
2021-02-01,7902,3
2021-02-02,7983,6
2021-02-03,6807,1
2021-02-04,8686,0
2021-02-05,9077,1
2021-02-06,457,0
2021-02-07,3,0
2021-02-08,7968,1
2021-02-09,6713,0
2021-02-10,8310,4
2021-02-11,682,0
2021-02-12,10224,1
2021-02-13,1,0
2021-02-14,57,0
2021-02-15,7304,0
2021-02-16,7347,0
2021-02-17,9112,0
2021-02-18,9494,0
2021-02-19,10304,1
2021-02-20,79,0
2021-02-21,1,0
2021-02-22,11643,1
2021-02-23,1142,0
2021-02-24,7759,0
2021-02-25,7485,0
2021-02-26,10178,2
2021-02-27,334,0
2021-02-28,68,0
2021-03-01,10800,5
2021-03-02,7949,0
2021-03-03,8268,1
2021-03-04,7589,0
2021-03-05,9770,3
2021-03-06,351,0
2021-03-07,315,0
2021-03-08,8669,0
2021-03-09,6521,2
2021-03-10,7961,0
2021-03-11,8467,4
2021-03-12,10188,3
2021-03-13,1144,0
2021-03-14,943,0
2021-03-15,8272,0
2021-03-16,7676,1
2021-03-17,11708,2
2021-03-18,10757,0
2021-03-19,11990,0
2021-03-20,1918,0
2021-03-21,754,0
2021-03-22,10470,5
2021-03-23,7653,2
2021-03-24,11646,3
2021-03-25,11227,0
2021-03-26,13861,3
2021-03-27,1729,0
2021-03-28,936,4
2021-03-29,13091,6
2021-03-30,9144,5
2021-03-31,11563,2
2021-04-01,8182,3
2021-04-02,7638,4
2021-04-03,1615,1
2021-04-04,842,0
2021-04-05,4725,5
2021-04-06,6424,5
2021-04-07,8427,2
2021-04-08,7221,2
2021-04-09,8768,12
2021-04-10,3199,3
2021-04-11,1763,2
2021-04-12,6056,9
2021-04-13,8068,2
2021-04-14,8672,6
2021-04-15,8921,8
2021-04-16,9032,4
2021-04-17,2113,0
2021-04-18,1067,1
2021-04-19,7853,8
2021-04-20,7736,15
2021-04-21,10798,10
2021-04-22,12070,13
2021-04-23,12749,11
2021-04-24,5388,3
2021-04-25,2209,4
2021-04-26,9767,23
2021-04-27,11379,27
2021-04-28,13270,32
2021-04-29,6165,7
2021-04-30,9153,6
2021-05-01,4167,5
2021-05-02,3277,5
2021-05-03,1968,2
2021-05-04,1813,9
2021-05-05,1475,6
2021-05-06,5685,25
2021-05-07,7647,12
2021-05-08,5454,3
2021-05-09,3029,5
2021-05-10,8763,18
2021-05-11,10246,15
2021-05-12,10734,14
2021-05-13,16155,17
2021-05-14,14424,17
2021-05-15,5152,3
2021-05-16,3096,5
2021-05-17,10608,12
2021-05-18,11841,6
2021-05-19,13838,12
2021-05-20,18366,25
2021-05-21,13664,24
2021-05-22,3779,5
2021-05-23,3430,2
2021-05-24,11441,16
2021-05-25,8763,14
2021-05-26,13804,7
2021-05-27,20716,13
2021-05-28,16877,20
2021-05-29,3894,3
2021-05-30,3498,7
2021-05-31,13795,10
2021-06-01,14229,6
2021-06-02,13079,10
2021-06-03,15999,12
2021-06-04,14938,12
2021-06-05,2953,4
2021-06-06,2196,3
2021-06-07,13423,10
2021-06-08,13708,4
2021-06-09,13610,4
2021-06-10,16461,11
2021-06-11,16985,7
2021-06-12,3734,2
2021-06-13,2067,0
2021-06-14,13319,4
2021-06-15,12570,3
2021-06-16,15204,12
2021-06-17,18767,3
2021-06-18,15958,4
2021-06-19,2688,0
2021-06-20,1673,4
2021-06-21,15546,5
2021-06-22,13760,5
2021-06-23,20599,3
2021-06-24,23167,3
2021-06-25,22798,4
2021-06-26,4500,0
2021-06-27,1756,0
2021-06-28,13571,3
2021-06-29,13266,2
2021-06-30,14032,3
2021-07-01,15876,3
2021-07-02,12811,7
2021-07-03,1990,2
2021-07-04,995,0
2021-07-05,8214,0
2021-07-06,7087,4
2021-07-07,9619,4
2021-07-08,12413,3
2021-07-09,10534,2
2021-07-10,2098,1
2021-07-11,843,0
2021-07-12,9022,0
2021-07-13,7111,5
2021-07-14,8203,6
2021-07-15,15739,9
2021-07-16,14203,3
2021-07-17,2528,2
2021-07-18,1964,1
2021-07-19,9270,7
2021-07-20,5855,6
2021-07-21,7152,5
2021-07-22,3806,3
2021-07-23,4210,6
2021-07-24,1970,1
2021-07-25,727,0
2021-07-26,4540,13
2021-07-27,7072,7
2021-07-28,9517,9
2021-07-29,12847,12
2021-07-30,12716,9
2021-07-31,3217,1
2021-08-01,2536,4
2021-08-02,11310,19
2021-08-03,8558,15
2021-08-04,7432,27
2021-08-05,10033,30
2021-08-06,11815,18
2021-08-07,2386,7
2021-08-08,1316,7
2021-08-09,3959,6
2021-08-10,6404,22
2021-08-11,6531,15
2021-08-12,10540,33
2021-08-13,10153,27
2021-08-14,2593,11
2021-08-15,1610,7
2021-08-16,6240,7
2021-08-17,8349,23
2021-08-18,7123,22
2021-08-19,14770,32
2021-08-20,19897,30
2021-08-21,3572,10
2021-08-22,2599,10
2021-08-23,14260,41
2021-08-24,10183,17
2021-08-25,8454,21
2021-08-26,14614,24
2021-08-27,18808,31
2021-08-28,4320,29
2021-08-29,2893,7
2021-08-30,16507,15
2021-08-31,13516,33
2021-09-01,12743,28
2021-09-02,13399,27
2021-09-03,18128,28
2021-09-04,4946,8
2021-09-05,2339,2
2021-09-06,11413,12
2021-09-07,8370,11
2021-09-08,8764,16
2021-09-09,15853,17
2021-09-10,14871,11
2021-09-11,4267,4
2021-09-12,3805,2
2021-09-13,11533,6
2021-09-14,9096,16
2021-09-15,10889,22
2021-09-16,18389,9
2021-09-17,17075,8
2021-09-18,3752,3
2021-09-19,2182,3
2021-09-20,1933,0
2021-09-21,10932,7
2021-09-22,7192,4
2021-09-23,4747,0
2021-09-24,15930,9
2021-09-25,3721,1
2021-09-26,3322,0
2021-09-27,8739,1
2021-09-28,10932,8
2021-09-29,13850,4
2021-09-30,17982,4
2021-10-01,16868,10
2021-10-02,4358,6
2021-10-03,1585,0
2021-10-04,10573,5
2021-10-05,7744,6
2021-10-06,6977,3
2021-10-07,12962,4
2021-10-08,13624,6
2021-10-09,3008,1
2021-10-10,2398,4
2021-10-11,7247,2
2021-10-12,10733,1
2021-10-13,7902,2
2021-10-14,15473,3
2021-10-15,13726,2
2021-10-16,3792,1
2021-10-17,1333,1
2021-10-18,7008,0
2021-10-19,5478,1
2021-10-20,7313,1
2021-10-21,13520,0
2021-10-22,11388,0
2021-10-23,2651,0
2021-10-24,1308,1
2021-10-25,10168,3
2021-10-26,9484,1
2021-10-27,8886,1
2021-10-28,13566,1
2021-10-29,12364,1
2021-10-30,2741,0
2021-10-31,1719,0
2021-11-01,7209,0
2021-11-02,4310,0
2021-11-03,1705,0
2021-11-04,3775,1
2021-11-05,4256,0
2021-11-06,923,0
2021-11-07,1312,3
2021-11-08,4685,0
2021-11-09,5452,1
2021-11-10,5531,2
2021-11-11,6961,1
2021-11-12,7710,0
2021-11-13,1991,1
2021-11-14,1447,0
2021-11-15,2876,0
2021-11-16,3589,0
2021-11-17,4638,0
2021-11-18,7035,0
2021-11-19,5560,0
2021-11-20,1400,0
2021-11-21,1041,0
2021-11-22,3943,1
2021-11-23,1593,0
2021-11-24,4272,0
2021-11-25,7017,1
2021-11-26,6410,0
2021-11-27,2713,0
2021-11-28,1610,0
2021-11-29,4103,0
2021-11-30,2859,0
2021-12-01,3229,0
2021-12-02,4619,0
2021-12-03,4336,1
2021-12-04,910,0
2021-12-05,1177,0
2021-12-06,3815,0
2021-12-07,6099,2
2021-12-08,6199,2
2021-12-09,6907,1
2021-12-10,4870,0
2021-12-11,972,0
2021-12-12,321,0
2021-12-13,2099,0
2021-12-14,3140,1
2021-12-15,5534,0
2021-12-16,4777,0
2021-12-17,4832,3
2021-12-18,1046,1
2021-12-19,619,0
2021-12-20,3692,0
2021-12-21,6345,1
2021-12-22,6233,0
2021-12-23,4635,1
2021-12-24,4858,0
2021-12-25,1157,0
2021-12-26,468,0
2021-12-27,2688,0
2021-12-28,1679,0
2021-12-29,570,0
2021-12-30,785,0
2021-12-31,408,1
2022-01-01,491,0
2022-01-02,148,0
2022-01-03,185,0
2022-01-04,1572,4
2022-01-05,3696,1
2022-01-06,3347,3
2022-01-07,6292,1
2022-01-08,3465,1
2022-01-09,1337,5
2022-01-10,2149,2
2022-01-11,4659,30
2022-01-12,6325,29
2022-01-13,6015,12
2022-01-14,6553,28
2022-01-15,2388,6
2022-01-16,700,3
2022-01-17,5630,27
2022-01-18,5613,31
2022-01-19,5843,47
2022-01-20,7690,43
2022-01-21,7126,62
2022-01-22,2027,10
2022-01-23,803,16
2022-01-24,6222,88
2022-01-25,6471,52
2022-01-26,6997,69
2022-01-27,7410,60
2022-01-28,6834,49
2022-01-29,2295,33
2022-01-30,870,38
2022-01-31,6650,132
2022-02-01,6708,91
2022-02-02,8016,96
2022-02-03,6931,108
2022-02-04,10083,140
2022-02-05,2773,38
2022-02-06,2280,77
2022-02-07,7458,121
2022-02-08,7678,107
2022-02-09,8894,168
2022-02-10,11137,91
2022-02-11,8863,111
2022-02-12,2717,42
2022-02-13,1716,77
2022-02-14,6257,137
2022-02-15,8760,239
2022-02-16,7833,78
2022-02-17,13994,100
2022-02-18,14450,123
2022-02-19,4148,36
2022-02-20,3250,73
2022-02-21,8965,143
2022-02-22,8402,102
2022-02-23,6780,36
2022-02-24,11632,163
2022-02-25,12827,135
2022-02-26,5152,40
2022-02-27,3590,92
2022-02-28,9378,160
2022-03-01,7954,123
2022-03-02,7225,97
2022-03-03,10815,105
2022-03-04,8097,106
2022-03-05,2135,31
2022-03-06,2507,65
2022-03-07,8819,76
2022-03-08,7246,60
2022-03-09,7193,49
2022-03-10,10803,64
2022-03-11,9549,66
2022-03-12,2409,19
2022-03-13,1867,34
2022-03-14,9677,97
2022-03-15,8174,50
2022-03-16,9282,60
2022-03-17,9083,70
2022-03-18,10924,69
2022-03-19,2325,13
2022-03-20,2161,61
2022-03-21,3834,48
2022-03-22,4967,31
2022-03-23,7770,51
2022-03-24,10352,112
2022-03-25,9242,63
2022-03-26,3191,18
2022-03-27,2766,35
2022-03-28,7151,47
2022-03-29,5982,119
2022-03-30,4413,75
2022-03-31,4346,62
2022-04-01,4910,11
2022-04-02,2087,32
2022-04-03,760,21
2022-04-04,3730,32
2022-04-05,4161,61
2022-04-06,5033,52
2022-04-07,5097,27
2022-04-08,3390,33
2022-04-09,1533,28
2022-04-10,814,22
2022-04-11,3711,19
2022-04-12,6267,83
2022-04-13,6028,34
2022-04-14,8499,42
2022-04-15,7829,39
2022-04-16,2404,6
2022-04-17,1592,25
2022-04-18,4820,33
2022-04-19,5090,27
2022-04-20,5317,21
2022-04-21,8466,23
2022-04-22,6708,47
2022-04-23,2194,6
2022-04-24,1489,19
2022-04-25,7641,33
2022-04-26,5626,22
2022-04-27,8541,37
2022-04-28,8099,35
2022-04-29,5144,21
2022-04-30,1410,9
2022-05-01,1210,21
2022-05-02,1025,31
2022-05-03,932,25
2022-05-04,907,17
2022-05-05,1009,12
2022-05-06,1346,21
2022-05-07,2394,13
2022-05-08,1828,27
2022-05-09,4552,20
2022-05-10,6457,60
2022-05-11,10120,30
2022-05-12,14048,43
2022-05-13,10518,42
2022-05-14,3090,8
2022-05-15,2379,35
2022-05-16,5661,25
2022-05-17,5469,50
2022-05-18,5821,37
2022-05-19,7968,32
2022-05-20,6802,35
2022-05-21,3160,17
2022-05-22,1858,23
2022-05-23,5142,28
2022-05-24,5667,20
2022-05-25,8897,37
2022-05-26,10589,42
2022-05-27,9918,46
2022-05-28,3393,8
2022-05-29,2254,17
2022-05-30,4500,28
2022-05-31,2325,18
2022-06-01,2321,33
2022-06-02,2937,18
2022-06-03,3708,14
2022-06-04,1694,9
2022-06-05,2170,14
2022-06-06,3834,10
2022-06-07,4568,17
2022-06-08,7066,23
2022-06-09,9486,16
2022-06-10,7967,24
2022-06-11,2334,1
2022-06-12,2080,18
2022-06-13,5443,13
2022-06-14,5091,11
2022-06-15,5526,2
2022-06-16,8715,16
2022-06-17,5260,7
2022-06-18,2295,5
2022-06-19,853,8
2022-06-20,3955,17
2022-06-21,4077,10
2022-06-22,7100,8
2022-06-23,9217,20
2022-06-24,6655,20
2022-06-25,2275,1
2022-06-26,1867,15
2022-06-27,5908,15
2022-06-28,2611,2
2022-06-29,4270,4
2022-06-30,4881,9
2022-07-01,2820,25
2022-07-02,1166,8
2022-07-03,635,11
2022-07-04,3828,11
2022-07-05,3115,30
2022-07-06,4910,18
2022-07-07,7092,26
2022-07-08,2607,12
2022-07-09,1751,28
2022-07-10,1698,28
2022-07-11,3774,28
2022-07-12,5192,62
2022-07-13,6439,44
2022-07-14,9086,55
2022-07-15,6592,28
2022-07-16,2910,61
2022-07-17,1474,34
2022-07-18,1366,35
2022-07-19,3924,112
2022-07-20,4426,105
2022-07-21,8474,101
2022-07-22,5358,129
2022-07-23,2655,31
2022-07-24,1956,93
2022-07-25,2599,107
2022-07-26,4660,113
2022-07-27,5878,100
2022-07-28,8310,93
2022-07-29,9054,98
2022-07-30,3458,128
2022-07-31,3789,96
2022-08-01,2943,160
2022-08-02,4272,111
2022-08-03,7485,150
2022-08-04,10390,148
